wiI7pd,d4r55,rsqaWe,bulan_tahun
Apik,Michael Novian Eka Putra,5 tahun lalu,February 2020
"Asri dan tenang....cuma ga lama2 disana. Waktu itu banyan anak2 sekolah, seperti lewat jalan belakang, tidak melalui loket, mungkin warga sendiri...bukan pengunjung. …",Cory Paulina,5 tahun lalu,February 2020
"Sumber mata air yg di pakai untuk irigasi, alami dan murah",Fortuin Hardjasa,5 tahun lalu,February 2020
"Sumber Sira merupakan sumber mata air yang  berada di Jalan Sunan Gunung, Desa Sumberjaya, Gondanglegi, Kabupaten Malang, Provinsi Jawa Timur. Di tempat ini tersedia fasilitas parkir kendaraan bermotor, warung makan, toilet maupun kamar …",Dicky Purnama,5 tahun lalu,February 2020
Tiket masuk 5000 rupiah,Andika Ndra,5 tahun lalu,February 2020
"Tmptnya Masih alami, tp tidak cocok untuk anak-anak",Erwina Hariyanto,5 tahun lalu,February 2020
Seger banget disini,PHD,5 tahun lalu,February 2020
"Tempat wisata murah meriah
Tiket hny 5000 rupiah",Sam Andi,5 tahun lalu,February 2020
Masih asri sekali,Luluk Mamluah,5 tahun lalu,February 2020
Dangkal tapi segar lumayanlah buat ngadem disiang hari,Ela Irwanti,5 tahun lalu,February 2020
"Bagus sejuk tempatnya,foto underwater lebih disarankan",Choirun Nisa',5 tahun lalu,February 2020
Airnya bersih + tanaman bawah air harus dijaga biar bagus,Muhammad FAJAR,5 tahun lalu,February 2020
Jozz,Hermawan Sartiko,5 tahun lalu,February 2020
Rekomendasi untuk yg ingin berfoto dibawah air,robby surya,5 tahun lalu,February 2020
mantap gaada buayanya,resa mr,5 tahun lalu,February 2020
"Tempat bagus, air bagus, udara bagus",Indria EWA,5 tahun lalu,February 2020
"Menyegarkan, airnya jernih dan murah",DJ E,5 tahun lalu,February 2020
Sangat dingin,Rizky Afif,5 tahun lalu,February 2020
Mending renang disini drpd di kolam renang,Prayoga Candra,5 tahun lalu,February 2020
Sayangnya pas ujan turun,sam sugab,5 tahun lalu,February 2020
sial,M Saefuddin Zuhri,5 tahun lalu,February 2020
"Tempat nya rindang, bikin tenang, air nya sejuk banget buat berenang, jernih, bersih ..
Bayar kamar mandi murah, ada penitipan barang juga rp 2000. Tiket masuk dewasa …",Sonia Wulandari06,5 tahun lalu,February 2020
"Bagus, tapi masih kurang untuk fasilitas kamar mandi. Pas kesana setelah berenang, persewaan kamar bilas yang disediakan, airnya mati. Beberapa orang keramas, pake shampoo di kolam sumbernya. Sayang sekali, tapi mungkin mereka juga gak ada …",Anis Imanianita,5 tahun lalu,February 2020
Sekedar irigasi persawahan yg di perlebar untuk wisata pemandian,joko Prasetyo,5 tahun lalu,February 2020
Wisata desa... Murah meriah,Sam 234,5 tahun lalu,February 2020
"Tempatnya bagus, air nya jernih kalau sepi. Anak-anak yang belum bisa berenang tidak direkomendasikan untuk berenang sendirian. Ada persewaan ban, persewaan loker, kamar mandi, serta water proof untuk HP. Parkiran mobil dan motor sangat mudah. Makanan dan minuman tersedia dengan harga pas.",Muhammad Raihan Athalariq,5 tahun lalu,February 2020
hiburan murah untuk keluarga,al kencleng,5 tahun lalu,February 2020
Salah satu sumber air yang bermuara di Kali Brantas. Menjadi sumber air nan bermanfaat bagi masyarakat di sekitarnya yang dieksplorasi untuk tempat wisata di Kabupaten Malang. Dengan optimalisasi Dana Desa yang diberikan pemerintah semoga …,Gustav Subagio,5 tahun lalu,February 2020
"Sumber air, tapi kok malah buat renang..",De Hunter's,5 tahun lalu,February 2020
Tempat wisata keluarga murah dan alami,Vcooks made,5 tahun lalu,February 2020
"Bagus pol dalem airnya, banyak ikan+jernih banget, tapi sayang gabisa upload videonya disini, kalo mau lihat videonya boleh banget kunjungi akun ig aku @fzapr18",Babu Meng,5 tahun lalu,February 2020
"teman saya sebelum kesini masih bujangan,  ternyata setelah mandi disini, masih tetep mbujang,",Fallah MN,5 tahun lalu,February 2020
"Tempatnya bagus, cuman sayang tulisan ""Sumber Sira"" nya tidak lengkap",Rohmana Sulik,5 tahun lalu,February 2020
Pengen kesana lagi,Andy Setiono02,5 tahun lalu,February 2020
"Tempat yang bagus buat mencari spot foto bawah air, karena airnya sangat jernih, fasilitas lumayan lengkap, mulai dari kamar ganti, toilet, musholla, spot foto, gazebo, warung2, dll. Kalau kesini saya anjurkan untuk datang pagi sekali, …",Moh. Rifki,5 tahun lalu,February 2020
Sumber mata air yang sangat bagus. Mohon untuk merawat bersama bagi yang berkunjung 🙏. …,Moch. Nur Ifrochan,5 tahun lalu,February 2020
Tempat nya nyaman dan asik,Sagitarius Learning,5 tahun lalu,February 2020
"Tempat mnghabiskan weekend recomended. Yg mau basah"", silahkan. Tarif masuk super duper murah. Yg g bisa renang, jgn khawatir. Sumber sira dalamnya tdk akan menenggelamkan. Arusnya tenang. Fasilitas dsana ada kamar mandi dan toilet, musholla, sewa ban, dan aneka gorengan.",zahrotut takiyah,5 tahun lalu,February 2020
Segar,Widhy San,5 tahun lalu,February 2020
"Tempat dimana aku menemukan kebahagiaan tersendiri. Setelah sekian minggu menggeluti dunia, Alam ini lah obatnya. Berangkatlah sendiri, dan berkunjunglah ke sini ketika sepi pengunjung. Tempat seluas itu serasa milik sendiri. Engkau akan …",Nasir KNs,5 tahun lalu,February 2020
