wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
"Tempat nya enak buat refresh pikiran, buat berenang juga airnya segar. Hanya kudu hati2 pas berenang krn batu/karang di dasar licin.
Untuk akses jalannya mudah ditemukan dg gmaps. …",tempat nya enak buat refresh pikiran buat berenang juga airnya segar hanya kudu hati pas berenang krn batukarang di dasar licin untuk akses jalannya mudah ditemukan dg gmaps,tempat enak untuk refresh pikiran untuk berenang juga airnya segar hanya harus hati saat berenang karena batu karang dasar licin untuk akses jalannya mudah ditemukan dengan google maps,"['tempat', 'enak', 'untuk', 'refresh', 'pikiran', 'untuk', 'berenang', 'juga', 'airnya', 'segar', 'hanya', 'harus', 'hati', 'saat', 'berenang', 'karena', 'batu', 'karang', 'dasar', 'licin', 'untuk', 'akses', 'jalannya', 'mudah', 'ditemukan', 'dengan', 'google', 'maps']","['enak', 'refresh', 'pikiran', 'berenang', 'airnya', 'segar', 'hati', 'berenang', 'batu', 'karang', 'dasar', 'licin', 'akses', 'jalannya', 'mudah', 'ditemukan', 'google', 'maps']",enak refresh pikir renang air segar hati renang batu karang dasar licin akses jalan mudah temu google maps,"a good place to refresh the mind to swim and the water is fresh, only have to be liver when swimming because the base coral is slippery for access to the road is easy to find with Google Maps"
"Rindang dan airnya dingin, sudah banyak taman2 dan gasebo2, bisa sewa ban utk brenang
Ada tanaman airnya cocok utk foto2 underwater",rindang dan airnya dingin sudah banyak taman dan gasebo bisa sewa ban utk brenang ada tanaman airnya cocok utk foto underwater,rindang dan airnya dingin sudah banyak taman dan gazebo bisa sewa ban untuk berenang ada tanaman airnya cocok untuk foto underwater,"['rindang', 'dan', 'airnya', 'dingin', 'sudah', 'banyak', 'taman', 'dan', 'gazebo', 'bisa', 'sewa', 'ban', 'untuk', 'berenang', 'ada', 'tanaman', 'airnya', 'cocok', 'untuk', 'foto', 'underwater']","['rindang', 'airnya', 'dingin', 'taman', 'gazebo', 'sewa', 'ban', 'berenang', 'tanaman', 'airnya', 'cocok', 'foto', 'underwater']",rindang air dingin taman gazebo sewa ban renang tanam air cocok foto underwater,shady and cold water already many parks and gazebo can rent tires for swimming there are water plants suitable for underwater photos
cocok untuk foto bawah air,cocok untuk foto bawah air,cocok untuk foto bawah air,"['cocok', 'untuk', 'foto', 'bawah', 'air']","['cocok', 'foto', 'air']",cocok foto air,suitable for underwater photos
kakak ipar gay 👀 …,kakak ipar gay,kakak ipar,"['kakak', 'ipar']","['kakak', 'ipar']",kakak ipar,sister -in -law
kemenangan,kemenangan,kemenangan,['kemenangan'],['kemenangan'],menang,victory
"Harga tiketnya murah meriah, tempatnya luas, ada mainannya juga, terus ada yang jualan makanan ❤️",harga tiketnya murah meriah tempatnya luas ada mainannya juga terus ada yang jualan makanan,harga tiketnya murah meriah tempatnya luas ada mainannya juga terus ada yang jualan makanan,"['harga', 'tiketnya', 'murah', 'meriah', 'tempatnya', 'luas', 'ada', 'mainannya', 'juga', 'terus', 'ada', 'yang', 'jualan', 'makanan']","['harga', 'tiketnya', 'murah', 'meriah', 'tempatnya', 'luas', 'mainannya', 'jualan', 'makanan']",harga tiket murah riah tempat luas main jual makan,"The ticket prices are cheap, the place is wide, there is also a toys, and there are those who sell food"
Menyenangkan bisa berenang di kolam sumber mata air langsung.,menyenangkan bisa berenang di kolam sumber mata air langsung,menyenangkan bisa berenang kolam sumber mata air langsung,"['menyenangkan', 'bisa', 'berenang', 'kolam', 'sumber', 'mata', 'air', 'langsung']","['menyenangkan', 'berenang', 'kolam', 'sumber', 'mata', 'air', 'langsung']",senang renang kolam sumber mata air langsung,fun can swim the pool of water sources directly
Bersih keren,bersih keren,bersih keren,"['bersih', 'keren']","['bersih', 'keren']",bersih keren,Clean cool
"Tempatnya asri, bagus, tiket juga murah",tempatnya asri bagus tiket juga murah,tempatnya asri bagus tiket juga murah,"['tempatnya', 'asri', 'bagus', 'tiket', 'juga', 'murah']","['tempatnya', 'asri', 'bagus', 'tiket', 'murah']",tempat asri bagus tiket murah,"the place is beautiful, good ticket is also cheap"
"Air sumber.murah, dekat sawah. Kamar mandi banyak.",air sumbermurah dekat sawah kamar mandi banyak,air sumber murah dekat sawah kamar mandi banyak,"['air', 'sumber', 'murah', 'dekat', 'sawah', 'kamar', 'mandi', 'banyak']","['air', 'sumber', 'murah', 'sawah', 'kamar', 'mandi']",air sumber murah sawah kamar mandi,cheap source water near a lot of bathroom rice fields
"Bagus, keren, rekomendasi banget.",bagus keren rekomendasi banget,bagus keren rekomendasi sangat,"['bagus', 'keren', 'rekomendasi', 'sangat']","['bagus', 'keren', 'rekomendasi']",bagus keren rekomendasi,great cool recommendation
"Murah meriah, bagus buat spot snorkling",murah meriah bagus buat spot snorkling,murah meriah bagus untuk spot snorkling,"['murah', 'meriah', 'bagus', 'untuk', 'spot', 'snorkling']","['murah', 'meriah', 'bagus', 'spot', 'snorkling']",murah riah bagus spot snorkling,cheap good for snorkeling spots
"Tempatnya bs dibilang ckp apik , tiket masuk murah tp sayangnya ketika saya kesana klo saya gk salah liat disekitar tmpt parkir ada tmpt pembakaran sampah.Nah asap dr pembakaran itu membuat udara di sekitar pemandian jadi tercemar.",tempatnya bs dibilang ckp apik tiket masuk murah tp sayangnya ketika saya kesana klo saya gk salah liat disekitar tmpt parkir ada tmpt pembakaran sampahnah asap dr pembakaran itu membuat udara di sekitar pemandian jadi tercemar,tempatnya bisa dibilang cukup bagus tiket masuk murah tapi sayangnya ketika saya kesana kalau saya tidak salah liat disekitar tempat parkir ada tempat pembakaran sampah asap dari pembakaran itu membuat udara sekitar pemandian jadi tercemar,"['tempatnya', 'bisa', 'dibilang', 'cukup', 'bagus', 'tiket', 'masuk', 'murah', 'tapi', 'sayangnya', 'ketika', 'saya', 'kesana', 'kalau', 'saya', 'tidak', 'salah', 'liat', 'disekitar', 'tempat', 'parkir', 'ada', 'tempat', 'pembakaran', 'sampah', 'asap', 'dari', 'pembakaran', 'itu', 'membuat', 'udara', 'sekitar', 'pemandian', 'jadi', 'tercemar']","['tempatnya', 'dibilang', 'bagus', 'tiket', 'masuk', 'murah', 'sayangnya', 'kesana', 'salah', 'liat', 'disekitar', 'parkir', 'pembakaran', 'sampah', 'asap', 'pembakaran', 'udara', 'pemandian', 'tercemar']",tempat bilang bagus tiket masuk murah sayang kesana salah liat sekitar parkir bakar sampah asap bakar udara mandi cemar,The place is arguably pretty good entrance tickets cheap but unfortunately when I go there if I am not mistaken around the parking lot there is a place to burn the smoke garbage from the burning that makes the air around the baths so polluted
Tempat yang indah dan sejuk,tempat yang indah dan sejuk,tempat yang indah dan sejuk,"['tempat', 'yang', 'indah', 'dan', 'sejuk']","['indah', 'sejuk']",indah sejuk,a beautiful and cool place
"Wenak le...., sejuk alamy sekaly...., pengen nyemplung tapi gk bawa ganti...wkwkwkwk, payah...",wenak le sejuk alamy sekaly pengen nyemplung tapi gk bawa gantiwkwkwkwk payah,enak sejuk alami sekali ingin menyelam tapi tidak bawa ganti payah,"['enak', 'sejuk', 'alami', 'sekali', 'ingin', 'menyelam', 'tapi', 'tidak', 'bawa', 'ganti', 'payah']","['enak', 'sejuk', 'alami', 'menyelam', 'bawa', 'ganti', 'payah']",enak sejuk alami selam bawa ganti payah,very cool naturally want to dive but not carrying a bad change
Kereen,kereen,keren,['keren'],['keren'],keren,keren
"Mari berbahagia, lihat saja!!",mari berbahagia lihat saja,mari berbahagia lihat saja,"['mari', 'berbahagia', 'lihat', 'saja']","['mari', 'berbahagia', 'lihat']",mari bahagia lihat,Let's be happy to see
"Air bening saat sepi, enaknya berkunjung pagi.",air bening saat sepi enaknya berkunjung pagi,air bening saat sepi enaknya berkunjung pagi,"['air', 'bening', 'saat', 'sepi', 'enaknya', 'berkunjung', 'pagi']","['air', 'bening', 'sepi', 'enaknya', 'berkunjung', 'pagi']",air bening sepi enak kunjung pagi,clear water when it's quiet visiting morning
Murce sekali,murce sekali,murah ceria sekali,"['murah', 'ceria', 'sekali']","['murah', 'ceria']",murah ceria,Very cheerful
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,Good
"mantep seger asik, tapi gua saranin lu bawa gopro, soalnya foto luarnya biasa aja cuma kalo nyelem dalam air ada rumput yang bagus buat foto, atau video",mantep seger asik tapi gua saranin lu bawa gopro soalnya foto luarnya biasa aja cuma kalo nyelem dalam air ada rumput yang bagus buat foto atau video,mantap segar seru tapi gua saranin bawa gopro soalnya foto luarnya biasa saja cuma kalau menyelam dalam air ada rumput yang bagus untuk foto atau video,"['mantap', 'segar', 'seru', 'tapi', 'gua', 'saranin', 'bawa', 'gopro', 'soalnya', 'foto', 'luarnya', 'biasa', 'saja', 'cuma', 'kalau', 'menyelam', 'dalam', 'air', 'ada', 'rumput', 'yang', 'bagus', 'untuk', 'foto', 'atau', 'video']","['mantap', 'segar', 'seru', 'gua', 'saranin', 'bawa', 'gopro', 'foto', 'luarnya', 'menyelam', 'air', 'rumput', 'bagus', 'foto', 'video']",mantap segar seru gua saranin bawa gopro foto luar selam air rumput bagus foto video,great fresh exciting but I suggest bringing GoPro because the extraordinary photos are just if diving in water there is a good grass for photos or videos
Bagus tempatnya cocok buat refresing,bagus tempatnya cocok buat refresing,bagus tempatnya cocok untuk refreshing,"['bagus', 'tempatnya', 'cocok', 'untuk', 'refreshing']","['bagus', 'tempatnya', 'cocok', 'refreshing']",bagus tempat cocok refreshing,good place is suitable for refreshing
Wisata alam sumbersira lumayan bagus untuk yang sedang ingin menikmati nuansa alam. Ditmbah sumber air yang jernih membuat badan menjadi segar. Untuk tiketnya dewasa 5k dan anak kecil 3k. Parkir 4k.,wisata alam sumbersira lumayan bagus untuk yang sedang ingin menikmati nuansa alam ditmbah sumber air yang jernih membuat badan menjadi segar untuk tiketnya dewasa dan anak kecil parkir,wisata alam sumber sira lumayan bagus untuk yang sedang ingin menikmati nuansa alam ditambah sumber air yang jernih membuat badan menjadi segar untuk tiketnya dewasa dan anak kecil parkir,"['wisata', 'alam', 'sumber', 'sira', 'lumayan', 'bagus', 'untuk', 'yang', 'sedang', 'ingin', 'menikmati', 'nuansa', 'alam', 'ditambah', 'sumber', 'air', 'yang', 'jernih', 'membuat', 'badan', 'menjadi', 'segar', 'untuk', 'tiketnya', 'dewasa', 'dan', 'anak', 'kecil', 'parkir']","['wisata', 'alam', 'sumber', 'sira', 'lumayan', 'bagus', 'menikmati', 'nuansa', 'alam', 'ditambah', 'sumber', 'air', 'jernih', 'badan', 'segar', 'tiketnya', 'dewasa', 'anak', 'parkir']",wisata alam sumber sira lumayan bagus nikmat nuansa alam tambah sumber air jernih badan segar tiket dewasa anak parkir,Sumber Sira natural tourism is pretty good for those who want to enjoy the nuances of nature plus clear water sources make the body fresh for adult tickets and small children parking
Jernih dan segar,jernih dan segar,jernih dan segar,"['jernih', 'dan', 'segar']","['jernih', 'segar']",jernih segar,Clear and fresh
Tempat yang sejuk nyaman asri dan bagi yang suka berenang sangat cocok sekali,tempat yang sejuk nyaman asri dan bagi yang suka berenang sangat cocok sekali,tempat yang sejuk nyaman asri dan bagi yang suka berenang sangat cocok sekali,"['tempat', 'yang', 'sejuk', 'nyaman', 'asri', 'dan', 'bagi', 'yang', 'suka', 'berenang', 'sangat', 'cocok', 'sekali']","['sejuk', 'nyaman', 'asri', 'suka', 'berenang', 'cocok']",sejuk nyaman asri suka renang cocok,A cool place that is comfortable beautiful and for those who like to swim are very suitable
Murah meriah,murah meriah,murah meriah,"['murah', 'meriah']","['murah', 'meriah']",murah riah,cheap
Lumayan. Bagus sayang kurang nya tempat duduk...ato Gasebo. Jadi bingung kalo nyantai ato duduk...masalah lainnya bagus..tiketnya pun murah 5 rb..parkir 3 RB..jadi meria lah😀😀😀 …,lumayan bagus sayang kurang nya tempat dudukato gasebo jadi bingung kalo nyantai ato dudukmasalah lainnya bagustiketnya pun murah rbparkir rbjadi meria lah,lumayan bagus sayang kurang tempat duduk atau gazebo jadi bingung kalau santai atau duduk masalah lainnya bagus tiketnya murah ribu parkir ribu jadi meriah,"['lumayan', 'bagus', 'sayang', 'kurang', 'tempat', 'duduk', 'atau', 'gazebo', 'jadi', 'bingung', 'kalau', 'santai', 'atau', 'duduk', 'masalah', 'lainnya', 'bagus', 'tiketnya', 'murah', 'ribu', 'parkir', 'ribu', 'jadi', 'meriah']","['lumayan', 'bagus', 'sayang', 'duduk', 'gazebo', 'bingung', 'santai', 'duduk', 'bagus', 'tiketnya', 'murah', 'ribu', 'parkir', 'ribu', 'meriah']",lumayan bagus sayang duduk gazebo bingung santai duduk bagus tiket murah ribu parkir ribu riah,"pretty good, unfortunately lack of seats or gazebos so confused when relaxing or sitting other problems, good tickets are cheap thousands of thousands of thousands"
"Mantap buat salto"" bosku,cuman hati"" banyak batunya 🤭😁 …",mantap buat salto boskucuman hati banyak batunya,mantap untuk terjun boskucuman hati banyak batunya,"['mantap', 'untuk', 'terjun', 'boskucuman', 'hati', 'banyak', 'batunya']","['mantap', 'terjun', 'boskucuman', 'hati', 'batunya']",mantap terjun boskucuman hati batu,steady to plunge boskucuman hearts of many stones
"Bagus, nyaman, airnya jernih dan segar, kedalaman 1 sampai 1,5 m",bagus nyaman airnya jernih dan segar kedalaman sampai,bagus nyaman airnya jernih dan segar kedalaman sampai,"['bagus', 'nyaman', 'airnya', 'jernih', 'dan', 'segar', 'kedalaman', 'sampai']","['bagus', 'nyaman', 'airnya', 'jernih', 'segar', 'kedalaman']",bagus nyaman air jernih segar dalam,good comfortable water clear and fresh depth until
Di jamin endues..,di jamin endues,jamin bagus,"['jamin', 'bagus']","['jamin', 'bagus']",jamin bagus,Jejin nice
Asyik buat main air,asyik buat main air,seru untuk main air,"['seru', 'untuk', 'main', 'air']","['seru', 'main', 'air']",seru main air,exciting to play water
Terpesona melihat pemandangan disana,terpesona melihat pemandangan disana,terpesona melihat pemandangan disana,"['terpesona', 'melihat', 'pemandangan', 'disana']","['terpesona', 'pemandangan', 'disana']",pesona pandang sana,fascinated to see the scenery there
Sumber air alami,sumber air alami,sumber air alami,"['sumber', 'air', 'alami']","['sumber', 'air', 'alami']",sumber air alami,natural water source
"Tempat alami sumber air besar,dan tiket murah",tempat alami sumber air besardan tiket murah,tempat alami sumber air besardan tiket murah,"['tempat', 'alami', 'sumber', 'air', 'besardan', 'tiket', 'murah']","['alami', 'sumber', 'air', 'besardan', 'tiket', 'murah']",alami sumber air besardan tiket murah,a natural place for large water sources and cheap tickets
"Masih alami ,mungkin perlu fasilitas utk bermain kolam utk anak",masih alami mungkin perlu fasilitas utk bermain kolam utk anak,masih alami mungkin perlu fasilitas untuk bermain kolam untuk anak,"['masih', 'alami', 'mungkin', 'perlu', 'fasilitas', 'untuk', 'bermain', 'kolam', 'untuk', 'anak']","['alami', 'fasilitas', 'bermain', 'kolam', 'anak']",alami fasilitas main kolam anak,still natural maybe need facilities to play a pool for children
lumayan,lumayan,lumayan,['lumayan'],['lumayan'],lumayan,reasonable
"Tempat rekreasi murah meriah berlatar belakang wahana alam. Yaitu kolam renang alami yg airnya berasal dari sumber. Di kelilingi persawahan yang luas, tempat ini sangat bernuansa pedesaan, asri dan sejuk.",tempat rekreasi murah meriah berlatar belakang wahana alam yaitu kolam renang alami yg airnya berasal dari sumber di kelilingi persawahan yang luas tempat ini sangat bernuansa pedesaan asri dan sejuk,tempat rekreasi murah meriah berlatar belakang wahana alam yaitu kolam renang alami yang airnya berasal dari sumber kelilingi persawahan yang luas tempat ini sangat bernuansa pedesaan asri dan sejuk,"['tempat', 'rekreasi', 'murah', 'meriah', 'berlatar', 'belakang', 'wahana', 'alam', 'yaitu', 'kolam', 'renang', 'alami', 'yang', 'airnya', 'berasal', 'dari', 'sumber', 'kelilingi', 'persawahan', 'yang', 'luas', 'tempat', 'ini', 'sangat', 'bernuansa', 'pedesaan', 'asri', 'dan', 'sejuk']","['rekreasi', 'murah', 'meriah', 'berlatar', 'wahana', 'alam', 'kolam', 'renang', 'alami', 'airnya', 'berasal', 'sumber', 'kelilingi', 'persawahan', 'luas', 'bernuansa', 'pedesaan', 'asri', 'sejuk']",rekreasi murah riah latar wahana alam kolam renang alami air asal sumber keliling sawah luas nuansa desa asri sejuk,"Cheap recreation places with a background of natural vehicles, namely a natural swimming pool whose water comes from a source of surrounding rice"
"seger, aksesnya cukup mudah, tiketnya murah",seger aksesnya cukup mudah tiketnya murah,segar aksesnya cukup mudah tiketnya murah,"['segar', 'aksesnya', 'cukup', 'mudah', 'tiketnya', 'murah']","['segar', 'aksesnya', 'mudah', 'tiketnya', 'murah']",segar akses mudah tiket murah,Fresh access is quite easy for cheap tickets
